vertex,dx,dy,dz,magnitude
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0
229,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0
277,-0.0022008227051459883,-0.0015237260223841531,0.002889985900071501,0.003939210590129553
278,-0.00041390628621629233,-0.00016000231748591887,0.0004792100242578812,0.0006531166838471263
279,-5.259944860114274e-06,0.0007796164328137678,-0.0002962018190881821,0.0008340053758605779
280,-5.211531138193948e-06,0.0020863497745438053,-0.0010074179785399817,0.002316845598066771
281,0.0013000281524471191,0.0009846902816583736,-0.001547542375659905,0.002248238321978037
282,0.0014693059485857418,0.0017814630623949057,-0.0016765789704349388,0.002853662148421141
283,-0.00014177350654165366,-0.00019021267100605144,0.00013186867239367572,0.0002714220590284497
284,0.0,0.0,0.0,0.0
285,2.6911677073471196e-06,0.0005774775213325256,-0.00022911196479902252,0.0006212727440038354
286,4.525475549854718e-09,9.770983874446415e-06,-3.624707120009063e-06,1.0421643251448652e-05
287,-2.5243219559989427e-05,0.0037586458620619823,-0.001057657710478832,0.003904701751614935
288,-1.1320866084130188e-05,0.0023259711382266346,-0.00036426250827004125,0.002354348545310015
289,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0
292,2.5598385633429643e-09,-1.4761310254129967e-06,5.397522817585099e-07,1.571719403272675e-06
293,0.0,0.0,0.0,0.0
294,-3.602042708550357e-08,4.33103778796351e-06,-1.8877750984636066e-06,4.724709579891081e-06
295,-6.111745687320536e-08,5.385415057901355e-06,-2.0217971927749545e-06,5.752746698588248e-06
296,-5.891327425899817e-09,2.0164851441961673e-06,-2.642006757813675e-07,2.033727868124447e-06
297,-3.661040359759227e-08,6.9126223962712174e-06,-1.580369731746245e-06,7.091068833688029e-06
298,-7.581913763488046e-09,9.98512544825303e-06,-3.7436792608147584e-06,1.0663860563164782e-05
299,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0
301,2.563306118474884e-07,-2.350752006563539e-05,7.860753596711234e-06,2.4788316847398677e-05
302,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0
305,-2.1281683970642007e-08,-6.915698751441823e-06,3.37744939482576e-06,7.696395685343595e-06
306,2.2336460112626355e-05,0.005746227421202121,-0.0026900927469626357,0.006344779545491437
307,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0
310,-2.010178716815858e-07,3.6318393352274825e-05,-1.6958457118132486e-05,4.008310581408125e-05
311,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
314,6.546112910399415e-06,-0.006604339167475715,0.0022357441251135146,0.006972509625925779
315,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0
319,-0.0006315632936693127,-0.006157542991982012,0.003378228155193286,0.007051711378137782
320,8.694953054755317e-05,0.006244549133187505,-0.0033699032977201338,0.007096351339501187
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,9.581329374341863e-08,1.6362450431017805e-05,-6.8111462001585465e-06,1.7723732023891213e-05
324,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
331,-0.0012297244020853526,-0.0020346518286480375,0.003371486498491505,0.0041254031776803935
332,-9.344293214752497e-07,-0.00013194448500186695,0.00013935575364498742,0.00019191207975145064
333,-0.0009326520701744556,-0.004559638145185119,0.004504359190715457,0.006476835000060654
334,0.00013171996817051834,0.006834084960688713,-0.004879463262825512,0.008398287273795192
335,1.9474335403391052e-05,0.0007172420763605913,-0.0006502965643306879,0.0009683496617553768
336,-6.061470130269697e-07,2.739616249947119e-05,-1.6151612594050846e-05,3.180867371153872e-05
337,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
346,5.6254430447211234e-08,1.1212004137561848e-05,-1.1120701297606672e-05,1.5791839623433353e-05
347,-1.2461059428758858e-07,1.1440532571072026e-05,-9.651644815589222e-06,1.4968485593280936e-05
348,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0
357,0.0,0.0,0.0,0.0
358,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0
364,0.0,0.0,0.0,0.0
365,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0
373,0.0,0.0,0.0,0.0
374,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.0
378,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.0
380,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0
409,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0
411,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0
414,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0
421,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0
427,0.0,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0
429,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
431,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0
439,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0
443,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0
456,0.0,0.0,0.0,0.0
457,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0
459,0.0,0.0,0.0,0.0
460,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0
463,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,0.0
465,0.0,0.0,0.0,0.0
466,0.0,0.0,0.0,0.0
467,0.0,0.0,0.0,0.0
468,0.0,0.0,0.0,0.0
469,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,0.0
471,0.0,0.0,0.0,0.0
472,0.0,0.0,0.0,0.0
473,0.0,0.0,0.0,0.0
474,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
476,0.0,0.0,0.0,0.0
477,0.0,0.0,0.0,0.0
478,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0
507,0.0,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0
511,0.0,0.0,0.0,0.0
512,0.0,0.0,0.0,0.0
513,0.0,0.0,0.0,0.0
514,0.0,0.0,0.0,0.0
515,0.0,0.0,0.0,0.0
516,0.0,0.0,0.0,0.0
517,0.0,0.0,0.0,0.0
518,0.0,0.0,0.0,0.0
519,0.0,0.0,0.0,0.0
520,0.0,0.0,0.0,0.0
521,0.0,0.0,0.0,0.0
522,0.0,0.0,0.0,0.0
523,0.0,0.0,0.0,0.0
524,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.0
526,0.0,0.0,0.0,0.0
527,0.0,0.0,0.0,0.0
528,0.0,0.0,0.0,0.0
529,0.0,0.0,0.0,0.0
530,0.0,0.0,0.0,0.0
531,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0
533,0.0,0.0,0.0,0.0
534,0.0,0.0,0.0,0.0
535,0.0,0.0,0.0,0.0
536,0.0,0.0,0.0,0.0
537,0.0,0.0,0.0,0.0
538,0.0,0.0,0.0,0.0
539,0.0,0.0,0.0,0.0
540,0.0,0.0,0.0,0.0
541,0.0,0.0,0.0,0.0
542,0.0,0.0,0.0,0.0
543,0.0,0.0,0.0,0.0
544,0.0,0.0,0.0,0.0
545,0.0,0.0,0.0,0.0
546,-0.0028698071120358826,0.006707463691240534,0.004677040078909567,0.008666058269439931
547,2.5389899117822523e-05,-0.0002674014380623646,-0.0001627500520333669,0.00031406329854329914
548,-0.0001800237597406884,-0.009184468058665018,-0.005564313421779765,0.010740039382167442
549,3.688598666307108e-05,-0.009226399504740357,-0.00555719772472818,0.010770805677794456
550,2.0387387182241312e-05,-0.007321260237363347,-0.0046803716569079334,0.008689484792295851
551,0.00024484174834760175,-0.008421935115137558,-0.007580307058197455,0.011333578149105388
552,-0.00041057671935651463,-0.009171870639480773,-0.006236857452907252,0.011099106953162121
553,-5.750355867117918e-05,-0.0014111493893143034,-0.001087199191937227,0.0017823162853912715
554,0.0027310105421500808,0.008377039400102149,0.0049309756289885875,0.010096916774237472
555,0.005205632349354339,0.0069737307752788524,0.0067678864068185796,0.011024328346811677
556,-0.006554705717509268,0.006633795409490162,0.004248699554259439,0.010248065987321012
557,4.41326113476137e-06,-0.0014951120114794492,-0.008595000171586431,0.00872407057246299
558,-8.612311254596605e-05,0.0016428707186104674,0.008408347414868622,0.008567773785395489
559,0.00017524176672401026,-0.0015834794945668307,-0.00941213867141455,0.009546018612827833
560,0.00015238982990384287,0.0012808444753567017,0.008928812315031731,0.009021500683776076
561,0.00013207780255064527,-0.001174086266500396,-0.007011342257340125,0.007110192919793018
562,-1.6511773040184252e-05,-0.0012093472015930473,-0.007721878474741484,0.007816022036261522
563,2.2403089339206872e-07,-3.2335858684007235e-06,-2.3200573406434444e-05,2.3425901771263107e-05
564,-0.0002990355209997464,-0.0014836716944408579,-0.00976060800183598,0.009877255312343057
565,-8.527911017908174e-05,0.0017168003195831005,0.0103256062363144,0.010467703664671082
566,0.006209606979800331,0.0041016401745146425,0.004157707616122774,0.008524623369154957
567,-4.965102664966636e-05,-0.0018244202398065568,-0.010526340819542845,0.010683390168155291
568,0.00016727812138794818,0.0016099631541184323,0.008716769375814337,0.008865778684280852
569,5.563765813643151e-05,-0.0013755113528119978,-0.007340703403374782,0.007468671467338465
570,0.0,0.0,0.0,0.0
571,0.0,0.0,0.0,0.0
572,0.0,0.0,0.0,0.0
573,0.0,0.0,0.0,0.0
574,0.0,0.0,0.0,0.0
575,0.0,0.0,0.0,0.0
576,0.0,0.0,0.0,0.0
577,0.0,0.0,0.0,0.0
578,0.0,0.0,0.0,0.0
579,-0.00533260099263666,0.002662842669293397,0.0046532924421032185,0.0075617785592950295
580,-5.266416153881792e-05,0.001823589558155092,0.009784952962152982,0.009953570056119024
581,6.517635142699874e-08,3.927948473148035e-07,1.974925144310191e-06,2.014662521240474e-06
582,5.213963039096825e-08,-1.09167164197288e-06,-6.2978197639118605e-06,6.391948004612046e-06
583,-2.8702060728136303e-08,2.2862567305992343e-07,1.2073085282615637e-06,1.2291002355728549e-06
584,1.3609399607261707e-08,-2.3973553435752137e-06,-1.5035332120660883e-05,1.5225265509596316e-05
585,-9.524974142749443e-10,-1.247645695201527e-06,-7.573276822103736e-06,7.67535943863347e-06
586,-5.774045597206623e-08,-1.410400916057597e-06,-8.361120773958675e-06,8.479440152568757e-06
587,2.1411976014462653e-07,-1.6346699709401946e-06,-1.1027366521698667e-05,1.1149924017205615e-05
588,-1.278424794914912e-07,9.96351067428236e-07,5.595597687868548e-06,5.685048164581173e-06
589,-0.0019357846046372806,-0.00041564996671006327,-0.0012777447972798228,0.0023564080074028873
590,-2.222398309825735e-08,2.7015156405241214e-06,1.533617599269732e-05,1.5572314366862968e-05
591,-6.958762638276106e-05,0.001405808274048681,0.00813593448145733,0.008256789280809803
592,-6.877959815909662e-06,-0.00028128869769261655,-0.0015564702710872957,0.0015816985624825602
593,0.0,0.0,0.0,0.0
594,0.0,0.0,0.0,0.0
595,0.0,0.0,0.0,0.0
596,0.0,0.0,0.0,0.0
597,0.0,0.0,0.0,0.0
598,0.0,0.0,0.0,0.0
599,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0
602,0.0016360855350949777,-0.0004302297601466165,-0.0015681836942769145,0.00230674524463774
603,-0.00016536730835214897,-0.0022182686843663646,-0.011327187355427704,0.011543536532955288
604,-2.037396340526243e-08,2.9536842660604634e-07,1.9256636085707157e-06,1.9482910304146454e-06
605,0.0,0.0,0.0,0.0
606,0.0,0.0,0.0,0.0
607,0.0,0.0,0.0,0.0
608,0.0,0.0,0.0,0.0
609,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0
611,0.0,0.0,0.0,0.0
612,-0.006647303388217729,-0.0013422138132472838,-0.007796454515116125,0.010333096499198936
613,1.1074177130865337e-09,-5.0397970241533585e-08,-2.891685002559541e-07,2.9352956123487033e-07
614,0.00027771807316789854,-0.0019465212820222177,-0.009896048065209495,0.010089491550046816
615,4.2796268084899225e-08,-3.217244870512559e-07,-1.273412913782579e-06,1.3141227549656942e-06
616,0.0,0.0,0.0,0.0
617,0.0,0.0,0.0,0.0
618,0.0,0.0,0.0,0.0
619,0.0,0.0,0.0,0.0
620,0.0,0.0,0.0,0.0
621,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0
623,0.0,0.0,0.0,0.0
624,0.0,0.0,0.0,0.0
625,0.0,0.0,0.0,0.0
626,0.0,0.0,0.0,0.0
627,0.0003911044219324644,0.0017663233028741843,0.01095642565704047,0.011104779325019755
628,0.007557149116113049,-0.001969382353445681,-0.01032035912059781,0.012942132049833903
629,-1.611243751309388e-06,1.1735618851815843e-05,8.686886550757222e-05,8.767280451105632e-05
630,0.0,0.0,0.0,0.0
631,0.0,0.0,0.0,0.0
632,0.0,0.0,0.0,0.0
633,0.0,0.0,0.0,0.0
634,0.0,0.0,0.0,0.0
635,-0.007415085977631186,-0.0011931958295026135,-0.006591581277710201,0.009992805416091356
636,0.0,0.0,0.0,0.0
637,-0.00014503256935305409,0.001157226739993078,0.007475044584051904,0.007565480798170852
638,2.0872166217600352e-08,-1.3087955146318109e-06,-7.3984028166051985e-06,7.5133045714382365e-06
639,0.0,0.0,0.0,0.0
640,0.0,0.0,0.0,0.0
641,0.0,0.0,0.0,0.0
642,0.0,0.0,0.0,0.0
643,0.0,0.0,0.0,0.0
644,0.0,0.0,0.0,0.0
645,0.0,0.0,0.0,0.0
646,0.0,0.0,0.0,0.0
647,0.0,0.0,0.0,0.0
648,0.0,0.0,0.0,0.0
649,0.0,0.0,0.0,0.0
