vertex,x,y,z,angle_defect_radians,gaussian_curvature,sign,component
579,2.40888,12.7576,-2.24951,0.391036693625,43.6847418701,positive,4
589,1.3285,12.8517,-2.26611,0.196644818806,17.7879271251,positive,5
602,2.4279,12.8517,-2.26611,0.196584629783,17.9258346601,positive,4
625,2.7029,13.2408,-2.33471,1.38725628211,181.970202947,positive,12
666,2.6989,15.2005,-2.68026,1.55016775771,159.743726407,positive,13
684,2.7029,14.0828,-2.48317,-1.54729094303,-126.391511785,negative,14
690,2.4279,13.1952,-2.32666,-1.3935731531,-95.8522547021,negative,15
703,2.6989,14.8952,-2.62643,-1.54618383973,-102.466855097,negative,16
797,1.3237,13.5735,-2.39337,-0.0985470384588,-9.42204495759,negative,0
828,1.30927,13.6691,-2.41023,-0.0982147229274,-9.73069927943,negative,0
855,1.28545,13.7626,-2.42672,-0.0963640458322,-9.70696925711,negative,0
880,1.25256,13.8535,-2.44274,-0.099297917833,-9.9623219168,negative,0
903,1.21071,13.9407,-2.45813,-0.0968419763351,-9.67223798544,negative,0
924,1.16039,14.0236,-2.47273,-0.0990013621044,-9.8574752383,negative,0
941,1.10208,14.1011,-2.48641,-0.0965293845719,-9.59522980717,negative,0
954,1.0365,14.1726,-2.49901,-0.098452967136,-9.75366963433,negative,0
965,0.963959,14.2375,-2.51045,-0.0972414941579,-9.63767403447,negative,0
976,0.885537,14.295,-2.52059,-0.0986197391634,-9.74561475455,negative,0
988,0.801544,14.3447,-2.52936,-0.0968050155306,-9.51776681833,negative,0
998,0.712934,14.3862,-2.53668,-0.0968569739533,-9.48809159452,negative,0
1008,0.620725,14.419,-2.54245,-0.0999082553197,-9.7297709952,negative,0
1017,0.525907,14.4425,-2.54661,-0.0961438542785,-9.1831671843,negative,0
1028,0.429066,14.4569,-2.54914,-0.0991248870963,-9.02031679344,negative,0
1037,0.3285,14.4619,-2.55002,-0.0502514467076,-4.48632016405,negative,0
1064,0,14.4619,-2.55002,1.5678791233,150.711515309,positive,17
1073,0,15.2005,-2.68026,1.57404316405,147.942842669,positive,18
1267,0,14.685,0,1.56763241449,187.650587338,positive,19
1274,4.8279,17.843599,-0.479237,1.38473848741,141.810622572,positive,20
1279,4.8279,17.85,0,1.58816865721,245.344639367,positive,21
1286,4.8279,17.641899,-0.514801,0.345708446244,36.9044621383,positive,22
1382,4.8279,15.5702,-0.583604,1.5461076476,129.252592884,positive,23
1386,4.8279,15.6444,-0.162599,-1.55276733137,-137.710617833,negative,24
1400,4.8279,15.1803,-1.00987,1.54809991666,180.253602495,positive,25
1408,4.8279,15.2649,-0.529773,-1.54707305492,-121.652129401,negative,26
1448,4.8279,14.3678,-0.866607,1.54780698482,218.994380465,positive,27
1498,4.8279,14.4517,-0.390453,-1.5477810258,-200.900714561,negative,28
1537,4.8279,13.612,0,1.56187427354,213.753126451,positive,29
1539,4.8279,13.6098,-0.241995,1.38680533891,192.239882397,positive,30
1619,2.42792,13.3987,0,-1.39438256142,-109.753253624,negative,31
1906,1.48195,12.8194,0,0.391953445017,45.0178850211,positive,6
1907,1.5785,12.8,0,0.197480450538,26.2816862664,positive,6
1911,1.40143,12.8735,0,0.390518785661,53.3525002148,positive,6
1918,1.34748,12.9545,0,0.390705711856,37.6699738429,positive,6
1927,1.3285,13.05,0,0.196109566485,23.9506267071,positive,6
1988,0.426529,14.6802,0,-0.0979837086637,-9.06081912872,negative,1
1989,0.523606,14.6658,0,-0.0983692915853,-9.14917754187,negative,1
1990,0.6188,14.6419,0,-0.0973914522994,-9.07263389554,negative,1
1993,0.711558,14.6087,0,-0.0982366453121,-9.41322959027,negative,1
1994,1.32376,13.7823,0,-0.0978555949413,-9.54305969793,negative,1
1995,0.800255,14.5667,0,-0.0979429084086,-9.5695820782,negative,1
1996,1.30944,13.8793,0,-0.0980474559037,-9.52113208768,negative,1
1997,0.884408,14.5162,0,-0.097061375636,-9.49043547286,negative,1
1998,1.28567,13.9745,0,-0.0982182227049,-9.76877466864,negative,1
1999,0.963208,14.4578,0,-0.0991414582925,-9.71247469906,negative,1
2000,1.25253,14.0673,0,-0.0983675235404,-9.76091788121,negative,1
2001,1.03589,14.3918,0,-0.0970793225076,-9.53787444085,negative,1
2002,1.21061,14.156,0,-0.0979010791965,-9.7055278943,negative,1
2003,1.10177,14.3191,0,-0.0986355021165,-9.71368174848,negative,1
2004,1.16019,14.2402,0,-0.0976374188727,-9.64405686364,negative,1
2022,2.1779,12.8,0,0.194411402867,21.239133405,positive,7
2060,2.27298,12.8188,0,0.387605596911,46.2405295564,positive,7
2101,2.35358,12.8721,0,0.389428803084,54.8928809817,positive,7
2140,2.40812,12.9525,0,0.395432177565,46.1127610234,positive,7
2141,2.4279,13.05,0,0.200075930398,20.4670656732,positive,7
